Stazione;gradi_lat;primi_lat;secondi_lat;gradi_lon;primi_lon;secondi_lon;quota;lon;lat
NAPOLI (Serbatoio di Capodimonte) / NAPOLI (AMAN)         ;40;51;54.1;14;15;14.9;121;14.253266069977231;40.864016304350685
NAPOLI (Aeroporto di Capodichino)                         ;40;53;24.8;14;18;13.1;62;14.302766705081666;40.88923400173307
NAPOLI (Camaldoli) / CAMALDOLI / CAMALDOLI (Eremo)        ;40;51;39.1;14;12;8.9;382;14.201605002892716;40.85985077696295
NAPOLI (Capodimonte)                                      ;40;51;59.2;14;15;10.9;129;14.252146519377712;40.86544136555554
NAPOLI (Istituto di Fisica Terrestre)                     ;40;50;56.6;14;15;34.8;18;14.258783534188666;40.84806218929579
NAPOLI (Osservatorio di Capodimonte)                      ;40;51;52.1;14;15;23;152;14.255526763107607;40.863463396957435
NAPOLI (Posillipo)                                        ;40;48;28.9;14;12;17.9;38;14.204099829218254;40.807025322736436
NAPOLI (Servizio Idrografico)                             ;40;50;38.3;14;15;28.1;7;14.256942449087685;40.84296065526827
NAPOLI (Via Manzoni)                                      ;40;49;8.5;14;12;9.2;170;14.201691700389611;40.81802587630478
NAPOLI (Villa Comunale) / NAPOLI (Villa Nazionale)        ;40;50;1.5;14;14;13.7;2;14.236265558833498;40.832745318828536
NAPOLI (Villa Salve Vomero)                               ;40;50;47.7;14;13;4.4;121;14.217007646525643;40.84558816321287
NOCERA INFERIORE                                          ;40;44;43;14;38;39.9;48;14.64355826134505;40.74429569341148
OLEVANO SUL TUSCIANO / OLEVANO SUL TUSCIANO (Enel)        ;40;39;28.1;15;1;42.6;150;15.027643373592882;40.656810382354614
OLEVANO SUL TUSCIANO (Presa Enel)                         ;40;42;23.3;15;2;45.1;453;15.04501763539309;40.70546973446688
OLIVETO CITRA                                             ;40;42;48.1;15;12;33.9;299;15.208577665734635;40.71235283914256
ORTONA DEI MARSI                                          ;41;57;59;13;44;49;949;13.746037177568576;41.96540986217321
ORTUCCHIO                                                 ;41;57;6;13;38;10.9;662;13.635472822034835;41.950684232230415
OVINDOLI                                                  ;42;8;24;13;31;3.9;1354;13.516855206838837;42.13901888472296
PADULA                                                    ;40;20;32.5;15;39;38;683;15.659721841091663;40.3413667369662
PADULI                                                    ;41;10;12.5;14;53;18.4;378;14.887585254179557;41.1691512039393
PADULI(P.te Valentino)                                    ;41;8;57;14;50;7.6;142;14.834578415230872;41.14817990230513
PAGO VEIANO                                               ;41;14;57;14;53;30.9;385;14.89106624677929;41.24818933408497
PALIANO                                                   ;41;48;33;13;3;17.9;454;13.054070078674322;41.8081794074085
PALMA CAMPANIA                                            ;40;51;55;14;32;30.9;50;14.541058354623495;40.864295292851494
PELLEZZANO                                                ;40;43;41.3;14;45;39.7;275;14.760182766382927;40.72712932313073
PERSANO (Diga)                                            ;40;36;11.7;15;7;28.1;63;15.123619089103364;40.602253623008586
PERSANO (R. Tenuta) / PERSANO                             ;40;33;0.8;15;3;8.8;22;15.051585606549141;40.54922822146449
PERSANO SELE                                              ;40;32;43.2;15;2;0.3;35;15.032568811763436;40.54433431811719
PESCINA                                                   ;42;1;39;13;39;46;750;13.661863854651067;42.02652220233763
PESCOLAMAZZA / PESCOSANNITA                               ;41;13;56;14;48;32.9;432;14.80828565206792;41.231245704696065
PETRELLA LIRI (E. F.)                                     ;42;1;9;13;16;57;1082;13.281581811835105;42.018179504888536
PIAGGINE ( Comune )                                       ;40;20;36.9;15;22;46.7;628;15.378794182705963;40.34259188216723
PIAGGINE SOPRANE / PIAGGINE                               ;40;21;1;15;23;0.9;656;15.382752803730606;40.34929067280193
PIANI DI PRATO                                            ;40;50;8.9;14;38;58.6;849;14.648743324262176;40.83481070645439
PIANO DI SORRENTO (Casa d'Ardia)                          ;40;37;30.5;14;25;32.2;231;14.424745010196085;40.624147733947915
PIANO DI SORRENTO (Colli S. Pietro)                       ;40;37;5.4;14;25;45.4;309;14.42841063073854;40.61716618058696
PIANO DI SORRENTO (Istituto Nautico)                      ;40;37;59.7;14;24;41.5;96;14.410675107010968;40.63223865381097
